#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
279021	4783	1810	110855	108144	-	-	NFIL3	DR1	E4BP4|IL3BP1|NF-IL3A|NFIL3A	NC2|NC2-BETA	Reconstituted Complex	physical	Cowell IG (1996)	PUBMED:8836190	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	Q01658	Q658N3	NP_001929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
844578	57332	4783	121487	110855	-	-	CBX8	NFIL3	PC3|RC1	E4BP4|IL3BP1|NF-IL3A|NFIL3A	Affinity Capture-MS	physical	Vandamme J (2011)	PUBMED:21282530	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9HC52	-	NP_065700	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
879009	4097	4783	110272	110855	-	-	MAFG	NFIL3	hMAF	E4BP4|IL3BP1|NF-IL3A|NFIL3A	FRET	physical	Reinke AW (2013)	PUBMED:23661758	9606	9606	High Throughput	-	-	-	-	BIOGRID	O15525	A0A024R8X1	NP_116100|NP_002350	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
879021	23764	4783	117264	110855	CTA-447C4.1	-	MAFF	NFIL3	U-MAF|hMafF	E4BP4|IL3BP1|NF-IL3A|NFIL3A	FRET	physical	Reinke AW (2013)	PUBMED:23661758	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9ULX9	-	NP_001155046|NP_001155045|NP_001155044|NP_036455	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
879128	4783	23764	110855	117264	-	CTA-447C4.1	NFIL3	MAFF	E4BP4|IL3BP1|NF-IL3A|NFIL3A	U-MAF|hMafF	FRET	physical	Reinke AW (2013)	PUBMED:23661758	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	Q9ULX9	-	NP_001155046|NP_001155045|NP_001155044|NP_036455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
879129	4783	10538	110855	115792	-	-	NFIL3	BATF	E4BP4|IL3BP1|NF-IL3A|NFIL3A	B-ATF|BATF1|SFA-2|SFA2	FRET	physical	Reinke AW (2013)	PUBMED:23661758	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	Q16520	-	NP_006390	-	-	-	-	-	-	Homo sapiens	Homo sapiens
879130	4783	4783	110855	110855	-	-	NFIL3	NFIL3	E4BP4|IL3BP1|NF-IL3A|NFIL3A	E4BP4|IL3BP1|NF-IL3A|NFIL3A	FRET	physical	Reinke AW (2013)	PUBMED:23661758	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
879207	1649	4783	108016	110855	-	-	DDIT3	NFIL3	CEBPZ|CHOP|CHOP-10|CHOP10|GADD153	E4BP4|IL3BP1|NF-IL3A|NFIL3A	FRET	physical	Reinke AW (2013)	PUBMED:23661758	9606	9606	High Throughput	-	-	-	-	BIOGRID	P35638	Q53YD1	NP_001181986|NP_001181985|NP_001181984|NP_001181983|NP_001181982|NP_004074	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1040631	4783	7186	110855	113038	-	-	NFIL3	TRAF2	E4BP4|IL3BP1|NF-IL3A|NFIL3A	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	Q12933	A0A024R8H5	NP_066961	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1040632	4783	51421	110855	119530	-	-	NFIL3	AMOTL2	E4BP4|IL3BP1|NF-IL3A|NFIL3A	LCCP	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	Q9Y2J4	-	NP_001265612|NP_001265614|NP_001350872|NP_057285	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1175109	50514	4783	119083	110855	-	-	DEC1	NFIL3	CTS9	E4BP4|IL3BP1|NF-IL3A|NFIL3A	Two-hybrid	physical	Wallach T (2013)	PUBMED:23555304	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9P2X7	-	NP_059114	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1438912	4783	51421	110855	119530	-	-	NFIL3	AMOTL2	E4BP4|IL3BP1|NF-IL3A|NFIL3A	LCCP	Two-hybrid	physical	Yu H (2011)	PUBMED:21516116	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	Q9Y2J4	-	NP_001265612|NP_001265614|NP_001350872|NP_057285	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1506165	1385	4783	107775	110855	-	-	CREB1	NFIL3	CREB	E4BP4|IL3BP1|NF-IL3A|NFIL3A	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	High-confidence interactions	-	BIOGRID	P16220	Q5U0J5|Q53X93	NP_004370|NP_001358356|NP_001358357|NP_001358355|NP_604391|NP_001307722	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1513536	29947	4783	118984	110855	-	-	DNMT3L	NFIL3	-	E4BP4|IL3BP1|NF-IL3A|NFIL3A	Reconstituted Complex	physical	Pacaud R (2014)	PUBMED:24952347	9606	9606	Low Throughput	-	-	Panomics TranSignal TF Protein Arrays|Table 1	-	BIOGRID	Q9UJW3	-	NP_787063|NP_037501	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2235871	4783	64326	110855	122136	-	RP11-318C24.3	NFIL3	RFWD2	E4BP4|IL3BP1|NF-IL3A|NFIL3A	COP1|RNF200	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.997020649	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.997020649, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	Q8NHY2	X5D7N8|X5DNY7	NP_001001740|NP_071902|NP_001273573	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2242538	4783	83931	110855	123816	-	-	NFIL3	STK40	E4BP4|IL3BP1|NF-IL3A|NFIL3A	SHIK|SgK495	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.987134607	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.987134607, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	Q8N2I9	-	NP_114406|NP_001269475|NP_001269476	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2258980	4783	1385	110855	107775	-	-	NFIL3	CREB1	E4BP4|IL3BP1|NF-IL3A|NFIL3A	CREB	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.898958695	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.898958695, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	P16220	Q5U0J5|Q53X93	NP_004370|NP_001358356|NP_001358357|NP_001358355|NP_604391|NP_001307722	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2268750	4783	466	110855	106956	-	-	NFIL3	ATF1	E4BP4|IL3BP1|NF-IL3A|NFIL3A	EWS-ATF1|FUS/ATF-1|TREB36	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.79893018	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.79893018, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	P18846	-	NP_005162	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2391346	254394	4783	129033	110855	RP3-329L24.2	-	MCM9	NFIL3	C6orf61|MCMDC1|dJ329L24.1|dJ329L24.3	E4BP4|IL3BP1|NF-IL3A|NFIL3A	Affinity Capture-MS	physical	Hutchins JR (2016)	PUBMED:26870752	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NXL9	-	NP_001365285|NP_001365286|NP_060166|NP_001365293|NP_694987	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2391446	254394	4783	129033	110855	RP3-329L24.2	-	MCM9	NFIL3	C6orf61|MCMDC1|dJ329L24.1|dJ329L24.3	E4BP4|IL3BP1|NF-IL3A|NFIL3A	Affinity Capture-MS	physical	Traver S (2015)	PUBMED:26300262	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NXL9	-	NP_001365285|NP_001365286|NP_060166|NP_001365293|NP_694987	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2561865	8626	4783	114181	110855	-	-	TP63	NFIL3	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	E4BP4|IL3BP1|NF-IL3A|NFIL3A	Negative Genetic	genetic	Abraham CG (2018)	PUBMED:30232004	9606	9606	Low Throughput	-	-	CRISPR GI screen|Cell Line: H226|Experimental Setup: Negative Selection Screen|GIST: A-phenotypic negative genetic interaction|Library:  GeCKOv2|Significance Threshold: at least two sgRNAs with significant changes of 2-fold or greater; p < 0.05	-	BIOGRID	Q9H3D4	-	NP_001108454|NP_001108452|NP_001108453|NP_001108450|NP_001108451|NP_003713	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	PATO:0000169|HP:0001507	viability|Growth abnormality	phenotype|phenotype	-|-	-|-	-|-	Homo sapiens	Homo sapiens
2565225	25962	4783	117452	110855	MSTP054	-	KIAA1429	NFIL3	fSAP121	E4BP4|IL3BP1|NF-IL3A|NFIL3A	Affinity Capture-RNA	physical	Yue Y (2018)	PUBMED:29507755	9606	9606	High Throughput	-	-	The RNA of the 'hit' genes was identified in an RIP-seq (RNA immunoprecipitation sequencing) experiment using the 'bait' protein, VIRMA.	-	BIOGRID	Q69YN4	-	NP_056311|NP_892121	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2631476	8359	4783	113955	110855	-	-	HIST1H4A	NFIL3	H4FA	E4BP4|IL3BP1|NF-IL3A|NFIL3A	Affinity Capture-MS	physical	Nakamura K (2019)	PUBMED:30804502	9606	9606	High Throughput	-	-	assayed using SILAC IP (stable isotope labeling by amino acids in cell culture-based quantitative immunoprecipitation)	-	BIOGRID	P62805	B2R4R0	NP_003529	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2651213	4998	4783	111040	110855	-	-	ORC1	NFIL3	HSORC1|ORC1L|PARC1	E4BP4|IL3BP1|NF-IL3A|NFIL3A	Affinity Capture-MS	physical	Coulombe P (2019)	PUBMED:31160578	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q13415	Q96F82|B7Z8H0	NP_001177747|NP_001177748|NP_004144	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2702340	64395	4783	122152	110855	-	-	GMCL1	NFIL3	BTBD13|GCL|GCL1|SPATA29	E4BP4|IL3BP1|NF-IL3A|NFIL3A	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q96IK5	Q53SE7	NP_848526	Q16649	A0A024R241	NP_005375|NP_001276928|NP_001276929	-	-	-	-	-	-	Homo sapiens	Homo sapiens
